"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C3,C4,C5,C6,C7,C8,C11",".1uf","~","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","9",""
"C9,C10","20pf","~","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","2",""
"D1,D2","LED","~","LED_THT:LED_D3.0mm","2",""
"J1","Conn_01x03_Male","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"J2","Jumper_2_Bridged","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"J3","USB_A","~","Connector_USB:USB_A_Molex_67643_Horizontal","1",""
"Q1","2N2222","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_BJTs","Package_TO_SOT_THT:TO-92","1",""
"R1,R2","150","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","2",""
"R3","10k","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","1",""
"R4","4.7k","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","1",""
"SW1","SW_DIP_x07","~","Button_Switch_THT:SW_DIP_SPSTx07_Slide_6.7x19.34mm_W7.62mm_P2.54mm_LowProfile","1",""
"U1","74LS30","http://www.ti.com/lit/gpn/sn74LS30","Package_DIP:DIP-14_W7.62mm","1",""
"U3","74LS682","","Package_DIP:DIP-20_W7.62mm","1",""
"U4","74LS04","http://www.ti.com/lit/gpn/sn74LS04","Package_DIP:DIP-14_W7.62mm","1",""
"U5","74LS74","74xx/74hc_hct74.pdf","Package_DIP:DIP-14_W7.62mm","1",""
"U6","74LS32","http://www.ti.com/lit/gpn/sn74LS32","Package_DIP:DIP-14_W7.62mm","1",""
"U7","27128","http://eeshop.unl.edu/pdf/27128.pdf","Package_DIP:DIP-28_W15.24mm","1",""
"U8","CH376S","","CoCo:SOP-28","1",""
"Y1","12 Mhz","~","Crystal:Crystal_HC52-8mm_Vertical","1",""
